game_id,critic_score,user_score
393,9.0,
394,9.4,5.6
395,9.3,9.3
396,8.8,
397,,
398,9.2,8.2
399,5.0,
400,8.7,6.7
401,9.0,
402,7.9,6.8
403,8.3,7.0
404,8.7,
405,8.3,
406,8.7,
407,,
408,,
409,,8.0
410,8.7,
411,7.4,
412,8.5,
413,7.6,
414,9.3,
415,,
416,,
417,8.6,
418,7.7,9.7
19600,7.6,1.5
419,7.5,6.0
420,7.5,
421,7.3,
422,,
423,8.5,
424,8.0,
425,8.3,
426,8.8,5.1
427,9.1,
428,8.4,
429,8.7,6.6
430,9.4,
431,9.6,
432,7.2,
433,6.7,
434,9.3,9.4
435,8.0,
436,8.7,
437,9.0,8.9
438,7.9,
439,8.2,
440,9.0,
441,8.4,
442,8.2,7.6
443,8.1,
444,9.3,
445,6.1,
446,8.5,7.9
447,8.6,6.9
448,8.5,
449,,
450,6.9,
451,9.2,8.3
452,,
453,7.6,
454,8.7,
455,8.3,
456,7.7,
457,8.2,
458,9.1,
459,9.1,
460,7.9,
461,7.9,
462,8.6,
463,,
464,9.0,6.4
465,8.7,
466,8.7,
467,8.7,9.0
468,8.8,
469,9.0,9.3
470,8.7,8.1
471,,
472,9.4,
473,9.2,
474,8.0,
475,6.3,
476,8.3,7.8
477,9.0,9.3
478,8.3,
479,7.6,
480,7.5,7.9
481,7.1,8.1
482,,
483,8.5,7.4
484,7.5,
485,7.9,
486,9.1,6.3
487,6.6,6.9
488,9.1,
489,6.9,
490,8.3,5.5
491,7.9,
492,7.0,
493,7.3,
494,7.9,3.1
495,8.3,
496,6.8,
497,8.4,6.9
498,8.7,
499,8.3,7.1
500,8.2,7.7
501,9.3,
502,,
503,8.2,
504,8.5,
505,8.1,1.7
506,7.1,
507,,
508,7.9,
509,,
510,,
511,,
512,8.1,
513,8.2,5.9
514,8.8,7.3
515,8.7,5.9
516,8.9,8.4
517,8.5,7.6
518,8.4,
519,9.1,
520,8.5,4.4
521,,
522,,
523,,
524,8.9,9.5
525,8.5,4.4
526,8.3,
527,6.1,
528,6.2,
529,9.1,
530,5.5,
531,8.0,8.6
532,,
533,,
534,,
535,8.7,
536,,
537,8.3,7.9
538,8.4,
539,7.2,
540,9.5,5.9
541,8.2,
542,6.6,
543,7.0,
544,8.7,
545,8.0,3.0
546,,
547,8.0,
548,9.3,
549,8.7,
550,7.9,
551,,
552,7.9,
553,7.0,
554,8.6,
555,8.9,6.7
556,6.5,
557,9.5,8.9
558,9.0,8.9
559,9.2,
560,,
561,7.3,
562,7.9,
563,,
564,8.0,
565,7.5,4.3
566,7.8,
567,9.0,
568,7.8,8.0
569,7.5,
570,9.5,
571,8.5,
572,9.3,8.2
573,7.0,
574,9.3,9.1
575,,
576,8.4,
577,8.2,
578,7.0,
579,9.1,9.3
580,5.7,
581,9.2,8.5
582,,
583,8.6,
584,9.1,
585,8.8,8.6
586,7.4,
587,8.2,
588,6.7,
589,7.8,
590,,
591,9.1,8.5
592,9.3,
593,8.4,
594,7.3,
595,,
596,,
597,9.0,
598,9.0,
599,7.8,
600,7.6,
601,9.2,
602,7.7,
603,8.7,
604,8.9,8.8
605,8.4,
606,,
607,9.3,9.3
608,8.8,
609,,
610,,
611,9.2,
612,9.0,
613,6.6,
614,8.0,
615,,
616,9.2,9.1
617,6.9,
618,6.8,
619,,
620,9.1,
621,8.5,
622,9.2,
623,6.9,
624,5.9,
625,8.0,
626,,
627,9.2,
628,3.5,
629,8.9,8.7
630,6.9,5.2
631,8.7,8.4
632,7.9,
633,5.6,
634,8.2,
635,,
636,9.1,
637,9.3,
638,,
639,,
640,8.9,8.7
641,9.6,9.5
642,,
643,8.6,
644,9.6,9.5
645,5.5,6.0
646,,
647,8.4,
648,7.0,
649,7.0,
650,9.0,7.9
651,9.6,
652,7.8,
653,8.9,
654,3.0,
655,8.2,
656,9.0,7.1
657,9.1,
658,,
659,3.0,
660,9.0,
661,8.0,
662,9.0,8.4
663,8.0,
664,3.6,
665,,
666,6.0,
667,9.3,
668,9.5,
669,8.7,
670,8.0,
671,7.1,
672,8.3,
673,8.6,8.3
674,,
675,8.9,7.6
676,8.6,8.4
677,7.8,7.1
678,8.6,
679,,
680,8.5,
681,9.1,
682,8.0,
683,8.3,8.8
684,7.2,
685,8.3,6.1
686,8.7,5.9
687,7.0,
688,8.3,
689,8.3,
690,,
691,8.7,8.7
692,7.8,
693,7.9,
694,8.3,6.9
695,7.6,
696,8.7,5.0
697,8.0,8.4
698,8.4,
699,8.3,
700,9.3,
701,,
702,8.1,8.5
703,8.5,
704,9.3,
705,8.6,
706,8.2,
707,8.0,
708,6.7,
709,6.5,
710,8.2,
711,9.1,
712,6.5,
713,8.5,8.1
714,8.9,
715,7.3,
716,9.1,
717,8.6,
718,8.9,
719,8.0,8.1
720,8.2,2.6
721,9.3,
722,8.2,3.7
723,8.9,
724,8.8,
725,8.4,
726,7.7,
727,7.6,
728,,
729,9.0,
730,8.0,
731,8.3,8.5
732,8.0,6.9
733,8.6,
734,8.9,
735,8.8,8.6
736,8.5,8.5
737,8.0,
738,8.0,
739,9.1,
740,7.9,
741,8.3,
742,9.3,
743,8.9,
744,8.0,
745,8.5,
746,8.1,10.0
747,7.8,8.7
748,9.0,
749,7.9,
750,8.5,
751,,
752,8.2,
753,7.1,7.5
754,9.7,
755,8.9,
756,8.3,
757,,
758,8.3,
759,9.3,
760,8.1,9.0
761,8.4,
762,8.7,
763,,
764,,
765,8.6,
766,8.8,
767,9.0,8.0
768,9.2,
769,8.6,7.9
770,,
771,9.8,
772,8.3,6.9
773,2.6,
774,8.2,
775,8.3,7.3
776,7.9,
777,8.3,
778,8.5,
779,8.5,7.5
780,8.3,
781,9.1,
782,,
783,9.0,
784,7.8,
785,8.5,8.7
786,9.0,8.7
787,8.4,6.0
788,7.0,
789,8.3,5.7
790,7.4,7.9
791,8.9,8.8
792,7.9,
793,,
794,8.1,5.4
795,8.7,
796,8.0,
797,7.4,
798,7.0,
799,8.9,
800,8.2,
801,9.2,
802,8.5,
803,6.0,
804,8.4,
805,7.0,
806,8.3,6.1
807,8.0,
808,,
809,6.0,
810,8.8,6.0
811,8.0,
812,,
813,8.9,
814,7.5,
815,7.6,
816,,
817,5.5,
818,7.8,
819,8.4,
820,7.8,
821,6.7,
822,,
823,6.8,
824,,
825,,
826,8.0,
827,7.0,
828,,
829,,
830,,
831,8.7,
832,5.9,
833,8.6,
834,8.5,
835,8.4,7.7
836,8.1,
837,8.5,8.3
838,,
839,6.5,
840,8.7,4.2
841,,
842,,
843,6.7,
844,8.2,6.8
845,8.2,
846,7.8,
847,,
848,,
849,8.9,7.4
850,6.6,
851,7.8,
852,6.8,
853,7.1,
854,8.3,
855,6.7,
856,8.8,
857,,
858,6.0,
859,8.5,
860,7.6,
861,8.8,
862,,
863,9.3,
864,8.0,
865,6.0,
866,8.0,
867,8.4,8.5
868,8.8,
869,7.4,
870,9.6,9.3
871,,
872,8.0,
873,6.7,
874,8.2,
875,9.1,
876,7.0,
877,9.0,9.1
878,4.5,
879,,
880,7.1,
881,,
882,,
883,8.3,
884,8.3,
885,7.3,
886,7.8,
887,9.0,
888,6.8,4.6
889,7.2,
890,9.0,
891,9.1,9.1
892,8.6,
893,8.2,8.0
894,,
895,8.1,6.1
896,6.8,7.3
897,9.3,
898,9.1,
899,7.2,
900,,
901,7.0,
902,6.3,6.4
903,,
904,,
905,7.3,2.1
906,9.0,9.1
907,8.3,2.0
908,6.8,
909,9.4,
910,9.3,
911,8.4,7.8
912,8.0,2.3
913,7.9,7.1
914,9.2,
915,8.0,
916,8.8,
917,,
918,9.2,
919,9.2,
920,8.8,8.9
921,,
922,,
923,9.0,
924,8.6,
925,7.3,
926,8.1,
927,,
928,7.9,5.4
929,9.4,10.0
930,9.1,
931,8.0,
932,,
933,7.5,
934,5.8,
935,,
936,8.7,
937,8.6,6.2
938,8.2,8.1
939,5.9,
940,9.0,
941,,
942,8.2,
943,8.5,5.0
944,8.0,
945,,
946,9.1,9.3
947,6.9,7.7
948,7.0,
949,6.0,
950,8.9,
951,,
952,,
953,,
954,8.8,
955,,
956,7.3,8.1
957,,
958,7.2,
959,,
960,8.0,
961,,
962,6.1,
963,,
964,8.0,
965,9.0,
966,8.2,
967,8.6,
968,8.4,
969,9.0,
970,8.8,
971,9.3,
972,7.7,
973,8.7,
974,,
975,6.7,
976,9.0,6.8
977,8.1,
978,8.5,
979,8.5,
980,7.4,
981,,
982,,
983,7.0,
984,,
985,9.0,
986,8.6,7.4
987,3.8,
988,8.1,
989,8.2,
990,9.6,
991,6.0,
992,,
993,8.6,
994,,
995,7.0,
996,4.8,
997,,
998,8.4,
999,8.0,
1000,7.9,7.2
1001,8.4,
1002,5.4,
1003,8.8,9.1
1004,9.0,
1005,,
1006,9.1,
1007,8.6,
1008,5.9,
1009,7.1,
1010,7.4,7.7
1011,7.6,
1012,,
1013,,
1014,9.0,
1015,,
1016,,
1017,7.2,
1018,7.5,
1019,6.5,
1020,,
1021,8.3,
1022,8.6,
1023,8.6,
1024,9.5,8.7
1025,8.8,6.0
1026,8.0,
1027,9.1,
1028,7.1,
1029,7.0,8.2
1030,7.1,
1031,8.8,
1032,8.1,
1033,8.7,7.3
1034,5.5,
1035,8.7,8.5
1036,7.7,1.5
1037,,
1038,6.3,
1039,8.8,9.1
1040,8.7,8.1
1041,,
1042,,
1043,8.9,
1044,9.5,
1045,8.2,8.9
1046,5.3,
1047,8.8,
1048,,
1049,8.1,
1050,,
1051,7.2,6.2
1052,8.7,9.1
1053,8.8,8.5
1054,8.4,7.7
1055,9.2,9.7
1056,8.0,
1057,,
1058,8.4,5.9
1059,,
1060,,
1061,8.6,
1062,7.9,6.2
1063,7.0,
1064,6.9,
1065,7.6,
1066,8.8,
1067,6.2,6.6
1068,8.0,
1069,7.2,
1070,7.5,6.4
1071,,
1072,6.0,
1073,,
1074,9.4,
1075,,
1076,,
1077,7.8,8.0
1078,,
1079,8.8,7.9
1080,8.4,
1081,,
1082,7.9,8.0
1083,,
1084,,
1085,,
1086,8.8,
1087,7.4,
1088,9.2,
1089,5.2,
1090,,
1091,,
1092,9.0,
1093,9.4,
1094,9.0,
1095,,
1096,8.9,
1097,,
1098,,
1099,,
1100,8.7,
1101,8.1,8.9
1102,7.0,
1103,4.0,
1104,8.6,
1105,,
1106,,
1107,9.4,
1108,8.5,
1109,9.1,
1110,8.2,
1111,8.8,
1112,9.2,
1113,,
1114,8.2,
1115,4.8,
1116,,
1117,7.0,
1118,9.0,
1119,8.8,4.5
1120,9.2,
1121,8.5,
1122,8.1,10.0
1123,7.6,
1124,8.1,10.0
1125,7.9,
1126,7.8,
1127,7.9,8.3
1128,7.0,
1129,9.2,
1130,8.7,9.0
1131,8.6,
1132,,
1133,3.0,
1134,,
1135,7.0,
1136,7.4,
1137,9.2,
1138,,
1139,7.0,
1140,7.7,8.2
1141,,
1142,8.8,
1143,8.1,
1144,6.8,7.4
1145,9.3,
1146,8.3,8.0
1147,8.8,
1148,6.9,
1149,7.5,
1150,7.8,6.5
1151,9.0,
1152,7.7,7.5
1153,8.0,
1154,9.0,
1155,7.6,
1156,9.6,
1157,7.8,7.5
1158,8.7,
1159,,
1160,,
1161,,
1162,9.2,7.9
1163,9.2,
1164,6.6,
1165,,
1166,,
1167,8.0,
1168,6.0,
1169,7.8,
1170,8.1,7.4
1171,7.7,8.1
1172,,
1173,7.5,
1174,,
1175,8.1,
1176,8.1,8.2
1177,9.5,
1178,7.0,
1179,8.4,
1180,9.7,
1181,8.5,
1182,9.3,
1183,9.5,
1184,9.2,
1185,9.0,8.0
1186,,
1187,9.3,
1188,8.2,
1189,9.0,
1190,8.4,
1191,,
1192,,
1193,,
1194,7.2,
1195,9.1,
1196,7.7,
1197,8.3,
1198,7.6,
1199,6.6,
1200,8.5,
1201,,
1202,7.5,
1203,6.1,5.3
1204,9.1,
1205,,
1206,6.6,6.9
1207,6.5,
1208,7.2,6.7
1209,,
1210,6.5,
1211,8.5,
1212,7.9,
1213,8.4,
1214,7.5,
1215,6.4,
1216,8.8,8.7
1217,8.3,
1218,6.6,
1219,7.0,
1220,,
1221,8.9,
1222,8.7,
1223,8.8,
1224,8.0,
1225,,
1226,,
1227,7.5,
1228,,
1229,8.6,
